tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,X1,id,imdbid,rating,title,year
tt1210819,6.4,203969,movie,The Lone Ranger,The Lone Ranger,0,2013,,150,"Action,Adventure,Western",6486,4279,1210819,1,"Lone Ranger, The",2013
tt1211837,7.5,457653,movie,Doctor Strange,Doctor Strange,0,2016,,115,"Action,Adventure,Fantasy",7273,7225,1211837,1,Doctor Strange,2016
tt1211956,6.7,205643,movie,Escape Plan,Escape Plan,0,2013,,115,"Action,Crime,Mystery",6197,4689,1211956,2,Escape Plan,2013
tt1212428,6.6,61687,movie,The Lost City of Z,The Lost City of Z,0,2016,,141,"Adventure,Biography,Drama",7410,7555,1212428,1,"Lost City of Z, The",2016
tt1212436,5.3,45018,movie,The Back-up Plan,The Back-up Plan,0,2010,,104,"Comedy,Romance",5333,808,1212436,3,"Back-up Plan, The",2010
tt1212450,7.3,209174,movie,Lawless,Lawless,0,2012,,116,"Crime,Drama",6004,3485,1212450,1,Lawless,2012
tt1212454,5.4,3691,movie,An Invisible Sign,An Invisible Sign,0,2010,,96,"Comedy,Drama,Family",5452,3022,1212454,3,An Invisible Sign,2010
tt1212974,4.5,12828,movie,Bitch Slap,Bitch Slap,0,2009,,109,"Action,Comedy,Crime",4972,635,1212974,3,Bitch Slap,2009
tt1213641,7.7,44836,movie,First Man,First Man,0,2018,,141,"Biography,Drama,History",7826,8445,1213641,3,First Man,2018
tt1213648,6.2,43953,movie,London Boulevard,London Boulevard,0,2010,,103,"Crime,Drama",5297,5398,1213648,1,London Boulevard,2010
tt1213663,7,224339,movie,The World's End,The World's End,0,2013,,109,"Action,Comedy,Sci-Fi",6419,4414,1213663,2,"World&#39;s End, The",2013
tt1216475,6.2,129768,movie,Cars 2,Cars 2,0,2011,,106,"Adventure,Animation,Comedy",5654,2779,1216475,2,Cars 2,2011
tt1216477,5.2,494,movie,Dim Sum Funeral,Dim Sum Funeral,0,2008,,95,"Comedy,Drama",4584,1548,1216477,3,Dim Sum Funeral,2008
tt1216487,7.2,82644,movie,The Girl Who Played with Fire,Flickan som lekte med elden,0,2009,,129,"Crime,Drama,Mystery",5000,2149,1216487,3,"Girl Who Played with Fire, The",2009
tt1216496,7.8,35322,movie,Mother,Madeo,0,2009,,129,"Crime,Drama,Mystery",4886,678,1216496,3,Madeo,2009
tt1216515,7,6465,video,Tinker Bell and the Great Fairy Rescue,Tinker Bell and the Great Fairy Rescue,0,2010,,76,"Adventure,Animation,Family",5224,3903,1216515,3,Tinker Bell and the Great Fairy Rescue,2010
tt1216516,6.8,8510,video,Tinker Bell and the Lost Treasure,Tinker Bell and the Lost Treasure,0,2009,,81,"Adventure,Animation,Family",5064,3906,1216516,3,Tinker Bell and the Lost Treasure,2009
tt1216520,6.4,12090,movie,Womb,Womb,0,2010,,111,"Drama,Romance,Sci-Fi",5265,3762,1216520,3,Womb,2010
tt1217209,7.1,323753,movie,Brave,Brave,0,2012,,93,"Adventure,Animation,Comedy",6146,3379,1217209,3,Brave,2012
tt1217213,7.2,9338,movie,Secret of the Wings,Secret of the Wings,0,2012,,75,"Animation,Family,Fantasy",5900,3814,1217213,3,Tinkerbell and the Secret of the Wings,2012
tt1217613,5.8,164865,movie,Battle Los Angeles,Battle Los Angeles,0,2011,,116,"Action,Sci-Fi",5582,2122,1217613,1,Battle: Los Angeles,2011
tt1219289,7.4,477523,movie,Limitless,Limitless,0,2011,,105,"Mystery,Sci-Fi,Thriller",5676,2162,1219289,1,Limitless,2011
tt1219817,7.8,7131,tvMiniSeries,Going Postal,Going Postal,0,2010,,185,"Comedy,Fantasy,Mystery",5220,6453,1219817,1,Going Postal,2010
